,Artist,Song Title,Year
1145,Chad and Jeremy,A Summer Song,1964
1146,Stan Getz and Astrud Gilberto,The Girl From Ipanema,1964
1147,Beatles,Can't Buy Me Love,1964
1148,Shangri-Las,Remember (Walkin' In The Sand),1964
1149,Bobby Freeman,C'mon And Swim,1964
1150,Beatles,Do You Want To Know A Secret,1964
1151,Impressions,Keep On Pushing,1964
1152,Four Tops,Baby I Need Your Loving,1964
1153,Diane Renay,Navy Blue,1964
1154,Bachelors,Diane,1964
1155,Marketts,Out Of Limits,1964
1156,Hondells,Little Honda,1964
1157,Bobby Goldsboro,See The Funny Little Clown,1964
1158,Dave Clark Five,Because,1964
1159,Reflections,(Just Like) Romeo And Juliet,1964
1160,Rick Nelson,For You,1964
1161,New Christy Minstrels,Today,1964
1162,Dave Clark Five,Can't You See That She's Mine,1964
1163,Shangri-Las,Leader Of The Pack,1964
1164,Joe Hinton,Funny,1964
1165,Temptations,The Way You Do The Things You Do,1964
1166,Dionne Warwick,Anyone Who Had A Heart,1964
1167,Al Martino,I Love You More And More Every Day,1964
1168,Roy Orbison,It's Over,1964
1169,Four Seasons,Ronnie,1964
1170,Trashmen,Surfin' Bird,1964
1171,Tams,What Kind Of Fool (Do You Think I Am),1964
1172,Dean Martin,The Door Is Still Open To My Heart,1964
1173,Kinks,You Really Got Me,1964
1174,Sammy Davis Jr.,The Shelter Of Your Arms,1964
1175,Impressions,I'm So Proud,1964
1176,Jelly Beans,I Wanna Love Him So Bad,1964
1177,Roger Miller,Chug-a-lug,1964
1178,Roger Miller,Dang Me,1964
1179,Al Hirt,Cotton Candy,1964
1180,Nancy Wilson,(You Don't Know) How Glad I Am,1964
1181,Kingsmen,Money,1964
1182,Searchers,Don't Throw Your Love Away,1964
1183,Tommy Tucker,Hi-heel Sneakers,1964
1184,Gerry and The Pacemakers,How Do You Do It!,1964
1185,Ventures,Walk Don't Run '64,1964
1186,Dave Clark Five,Do You Love Me,1964
1187,"Robert Maxwell, His Harp and Orch.",Shangri-La,1964
1188,Gene Simmons,Haunted Houses,1964
1189,Jimmy Hughes,Steal Away,1964
1190,Beatles,I Saw Her Standing There,1964
1191,Andy Williams,A Fool Never Learns,1964
1192,Billy J. Kramer and The Dakotas,Bad To Me,1964
1193,Bobby Vinton,There! I've Said It Again,1964
1194,Kingsmen,Louie Louie,1964
1195,Searchers,Needles And Pins,1964
1196,Sam The Sham and The Pharaohs,Wooly Bully,1965
1197,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),1965
1198,Rolling Stones,(I Can't Get No) Satisfaction,1965
1199,We Five,You Were On My Mind,1965
1200,Righteous Brothers,You've Lost That Lovin' Feelin',1965
1201,Petula Clark,Downtown,1965
1202,Beatles,Help!,1965
1203,Herman's Hermits,Can't You Hear My Heartbeat,1965
1204,Elvis Presley,Crying In The Chapel,1965
1205,Temptations,My Girl,1965
1206,Beach Boys,"Help Me, Rhonda",1965
1207,Roger Miller,King Of The Road,1965
1208,Jewel Aikens,The Birds And The Bees,1965
1209,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1965
1210,Jr. Walker and The All Stars,Shotgun,1965
1211,Sonny and Cher,I Got You Babe,1965
1212,Gary Lewis and The Playboys,This Diamond Ring,1965
1213,Ramsey Lewis Trio,"The ""In"" Crowd",1965
1214,Herman's Hermits,Mrs. Brown You've Got A Lovely Daughter,1965
1215,Supremes,Stop! In The Name Of Love,1965
1216,Righteous Brothers,Unchained Melody,1965
1217,Herman's Hermits,Silhouettes,1965
1218,Seekers,I'll Never Find Another You,1965
1219,Jay and The Americans,"Cara, Mia",1965
1220,Byrds,Mr. Tambourine Man,1965
1221,Sounds Orchestral,Cast Your Fate To The Wind,1965
1222,Barbara Mason,"Yes, I'm Ready",1965
1223,Tom Jones,What's New Pussycat?,1965
1224,Barry McGuire,Eve Of Destruction,1965
1225,McCoys,Hang On Sloopy,1965
1226,Beatles,Ticket To Ride,1965
1227,Bert Kaempfert and His Orch.,Red Roses For A Blue Lady,1965
1228,James Brown and The Famous Flames,Papa's Got A Brand New Bag,1965
1229,Wayne Fontana and The Mindbenders,Game Of Love,1965
1230,Shirley Ellis,The Name Game,1965
1231,Petula Clark,I Know A Place,1965
1232,Supremes,Back In My Arms Again,1965
1233,Barbara Lewis,Baby I'm Yours,1965
1234,Kingsmen,The Jolly Green Giant,1965
1235,Patti Page,"Hush, Hush, Sweet Charlotte",1965
1236,Bob Dylan,Like A Rolling Stone,1965
1237,Freddie and The Dreamers,I'm Telling You Now,1965
1238,Gerry and The Pacemakers,Ferry Cross The Mersey,1965
1239,Righteous Brothers,Just Once In My Life,1965
1240,Johnny Rivers,Seventh Son,1965
1241,Herman's Hermits,"I'm Henry VIII, I Am",1965
1242,Horst Jankowski,A Walk In The Black Forest,1965
1243,Yardbirds,For Your Love,1965
1244,Beach Boys,California Girls,1965
1245,Moody Blues,Go Now,1965
1246,Shirley Bassey,Goldfinger,1965
1247,Billy Joe Royal,Down In The Boondocks,1965
1248,Glenn Yarbrough,Baby The Rain Must Fall,1965
1249,Dave Clark Five,Catch Us If You Can,1965
1250,Beatles,Eight Days A Week,1965
1251,Beau Brummels,Just A Little,1965
1252,Ian Whitcomb,You Turn Me On,1965
1253,Marvin Gaye,I'll Be Doggone,1965
1254,Gary Lewis and The Playboys,Save Your Heart For Me,1965
1255,Kinks,Tired Of Waiting For You,1965
1256,Gary Lewis and The Playboys,Count Me In,1965
1257,Kinks,All Day And All Of The Night,1965
1258,Jackie DeShannon,What The World Needs Now Is Love,1965
1259,Tom Jones,It's Not Unusual,1965
1260,Sir Douglas Quintet,She's About A Mover,1965
1261,Sam Cooke,Shake,1965
1262,Herman's Hermits,Wonderful World,1965
1263,Martha and The Vandellas,Nowhere To Run,1965
1264,Yardbirds,Heart Full Of Soul,1965
1265,Searchers,Love Potion Number Nine,1965
1266,Dickle Lee,Laurie (Strange Things Happen),1965
1267,Sonny and Cher,Baby Don't Go,1965
1268,Turtles,It Ain't Me Babe,1965
1269,Zombies,Tell Her No,1965
1270,Peter and Gordon,I Go To Pieces,1965
1271,Vic Dana,Red Roses For A Blue Lady,1965
1272,Patty Duke,Don't Just Stand There,1965
1273,Miracles,The Tracks Of My Tears,1965
1274,Brenda Lee,Too Many Rivers,1965
1275,Dave Clark Five,I Like It Like That,1965
1276,Bobby Goldsboro,Little Things,1965
1277,Peter and Gordon,True Love Ways,1965
1278,Four Tops,It's The Same Old Song,1965
1279,Fortunes,You've Got Your Troubles,1965
1280,Joe Tex,Hold What You've Got,1965
1281,Animals,We Gotta Get Out Of This Place,1965
1282,Beau Brummels,"Laugh, Laugh",1965
1283,Rolling Stones,The Last Time,1965
1284,Lovin' Spoonful,Do You Believe In Magic,1965
1285,Cher,All I Really Want To Do,1965
1286,Little Anthony and The Imperials,Take Me Back,1965
1287,Strangeloves,I Want Candy,1965
1288,Miracles,Ooo Baby Baby,1965
1289,Sonny,Laugh At Me,1965
1290,Roy Head,Treat Her Right,1965
1291,Jack Jones,The Race Is On,1965
1292,"Dino, Desi and Billy",I'm A Fool,1965
1293,Ad Libs,The Boy From New York City,1965
1294,Del Shannon,Keep Searchin',1965
1295,Marvin Gaye,How Sweet It Is (To Be Loved By You),1965
1296,Sgt. Barry Sadler,The Ballad Of The Green Berets,1966
1297,Association,Cherish,1966
1298,Righteous Brothers,(You're My) Soul And Inspiration,1966
1299,Four Tops,Reach Out I'll Be There,1966
1300,? and The Mysterians,96 Tears,1966
1301,Monkees,Last Train To Clarksville,1966
1302,Mama's and The Papa's,"Monday, Monday",1966
1303,Supremes,You Can't Hurry Love,1966
1304,Johnny Rivers,Poor Side Of Town,1966
1305,Mama's and The Papa's,California Dreamin',1966
1306,Lovin' Spoonful,Summer In The City,1966
1307,Roger Williams,Born Free,1966
1308,Nancy Sinatra,These Boots Are Made For Walkin',1966
1309,Jimmy Ruffin,What Becomes Of The Brokenhearted,1966
1310,Frank Sinatra,Strangers In The Night,1966
1311,Beatles,We Can Work It Out,1966
1312,Young Rascals,Good Lovin',1966
1313,New Vaudeville Band,Winchester Cathedral,1966
1314,Tommy James and The Shondells,Hanky Panky,1966
1315,Percy Sledge,When A Man Loves A Woman,1966
1316,Rolling Stones,Paint It Black,1966
1317,Petula Clark,My Love,1966
1318,Lou Christie,Lightnin' Strikes,1966
1319,Troggs,Wild Thing,1966
1320,Paul Revere and The Raiders,Kicks,1966
1321,Donovan,Sunshine Superman,1966
1322,Bobby Hebb,Sunny,1966
1323,Beatles,Paperback Writer,1966
1324,Happenings,See You In September,1966
1325,Supremes,You Keep Me Hangin' On,1966
1326,Sam The Sham and The Pharaohs,Lil' Red Riding Hood,1966
1327,Mitch Ryder and The Detroit Wheels,Devil With A Blue Dress On and Good Golly Miss Molly (Medley),1966
1328,Beach Boys,Good Vibrations,1966
1329,Mindbenders,A Groovy Kind Of Love,1966
1330,Dusty Springfield,You Don't Have To Say You Love Me,1966
1331,Capitols,Cool Jerk,1966
1332,Sandy Posey,Born A Woman,1966
1333,Cyrkle,Red Rubber Ball,1966
1334,Carla Thomas,B-A-B-Y,1966
1335,Left Banke,Walk Away Renee,1966
1336,Lovin' Spoonful,Daydream,1966
1337,Outsiders,Time Won't Let Me,1966
1338,Tommy Roe,Hooray For Hazel,1966
1339,Tommy Roe,Sweet Pea,1966
1340,Hollies,Bus Stop,1966
1341,James and Bobby Purify,I'm Your Puppet,1966
1342,B.J. Thomas and The Triumphs,I'm So Lonesome I Could Cry,1966
1343,Temptations,Ain't Too Proud To Beg,1966
1344,Standells,Dirty Water,1966
1345,Bob Lind,Elusive Butterfly,1966
1346,Simon and Garfunkel,I Am A Rock,1966
1347,Ray Charles,Crying Time,1966
1348,Johnny Rivers,Secret Agent Man,1966
1349,Simon and Garfunkel,The Sounds Of Silence,1966
1350,Peter and Gordon,Lady Godiva,1966
1351,Simon and Garfunkel,Homeward Bound,1966
1352,Lovin' Spoonful,Did You Ever Have To Make Up Your Mind?,1966
1353,Robert Parker,Barefootin',1966
1354,Stevie Wonder,Uptight (Everything's Alright),1966
1355,Cher,Bang Bang,1966
1356,Beach Boys,Sloop John B,1966
1357,Rolling Stones,19th Nervous Breakdown,1966
1358,Surfaris,Wipe Out,1966
1359,Count Five,Psychotic Reaction,1966
1360,Temptations,Beauty Is Only Skin Deep,1966
1361,T-Bones,No Matter What Shape (Your Stomach Is In),1966
1362,Paul Revere and The Raiders,Just Like Me,1966
1363,Deon Jackson,Love Makes The World Go Round,1966
1364,Crispian St. Peters,The Pied Piper,1966
1365,Brenda Lee,Coming On Strong,1966
1366,Ray Conniff and The Singers,Somewhere My Love,1966
1367,David Houston,Almost Persuaded,1966
1368,Bobby Darin,If I Were A Carpenter,1966
1369,Marvelettes,Don't Mess With Bill,1966
1370,Neil Diamond,"Cherry, Cherry",1966
1371,Lee Dorsey,Working In The Coal Mine,1966
1372,Dionne Warwick,Message To Michael,1966
1373,Lou Rawls,Love Is A Hurtin' Thing,1966
1374,Beach Boys,Barbara Ann,1966
1375,Shadows Of Knight,Gloria,1966
1376,Supremes,My World Is Empty Without You,1966
1377,Bob Dylan,Rainy Day Women #12 And 35,1966
1378,Sandpipers,Guantanamera,1966
1379,Wilson Pickett,"Land Of 1,000 Dances",1966
1380,Shades Of Blue,Oh How Happy,1966
1381,Peter and Gordon,Woman,1966
1382,Turtles,You Baby,1966
1383,Vogues,Five O'clock World,1966
1384,Los Bravos,Black Is Black,1966
1385,Beatles,Nowhere Man,1966
1386,Herman's Hermits,Dandy,1966
1387,Slim Harpo,Baby Scratch My Back,1966
1388,Gary Lewis and The Playboys,She's Just My Style,1966
1389,Chris Montez,The More I See You,1966
1390,Bobby Fuller Four,I Fought The Law,1966
1391,Beatles,Yellow Submarine,1966
1392,Paul Revere and The Raiders,Hungry,1966
1393,Herb Alpert and The Tijuana Brass,Zorba The Greek,1966
1394,Yardbirds,Shapes Of Things,1966
1395,Wilson Pickett,634-5789,1966
1396,Lulu,To Sir With Love,1967
1397,Box Tops,The Letter,1967
1398,Bobby Gentry,Ode To Billie Joe,1967
1399,Association,Windy,1967
1400,Monkees,I'm A Believer,1967
1401,Doors,Light My Fire,1967
1402,Nancy Sinatra and Frank Sinatra,Somethin' Stupid,1967
1403,Turtles,Happy Together,1967
1404,Young Rascals,Groovin',1967
1405,Frankie Valli,Can't Take My Eyes Off You,1967
1406,Music Explosion,Little Bit O' Soul,1967
1407,Tommy James and The Shondells,I Think We're Alone Now,1967
1408,Aretha Franklin,Respect,1967
1409,Stevie Wonder,I Was Made To Love Her,1967
1410,Bobby Vee and The Strangers,Come Back When You Grow Up,1967
1411,Buckinghams,Kind Of A Drag,1967
1412,Arthur Conley,Sweet Soul Music,1967
1413,Soul Survivors,Expressway To Your Heart,1967
1414,Sam and Dave,Soul Man,1967
1415,Association,Never My Love,1967
1416,Jay and The Techniques,"Apples, Peaches, Pumpkin Pie",1967
1417,Every Mothers' Son,Come On Down To My Boat,1967
1418,Strawberry Alarm Clock,Incense And Peppermints,1967
1419,Rolling Stones,Ruby Tuesday,1967
1420,Vicki Carr,It Must Be Him,1967
1421,Brenton Wood,Gimme Little Sign,1967
1422,Buffalo Springfield,For What It's Worth,1967
1423,Supremes,Love Is Here And Now You're Gone,1967
1424,Supremes,The Happening,1967
1425,Beatles,All You Need Is Love,1967
1426,Engelbert Humperdinck,Release Me (And Let Me Love Again),1967
1427,Marvin Gaye and Tammi Terrell,Your Precious Love,1967
1428,Jefferson Airplane,Somebody To Love,1967
1429,Esquires,Get On Up,1967
1430,Van Morrison,Brown Eyed Girl,1967
1431,Martha and The Vandella,Jimmy Mack,1967
1432,Happenings,I Got Rhythm,1967
1433,Procol Harum,A Whiter Shade Of Pale,1967
1434,Buckinghams,Don't You Care,1967
1435,Casinos,Then You Can Tell Me Goodbye,1967
1436,Diana Ross and The Supremes,Reflections,1967
1437,Hollies,On A Carousel,1967
1438,Bobby Vinton,Please Love Me Forever,1967
1439,Dionne Warwick,Alfie,1967
1440,Tremeloes,Silence Is Golden,1967
1441,Ed Ames,My Cup Runneth Over,1967
1442,Fifth Dimension,"Up, Up And Away",1967
1443,Scott Mckenzie,San Francisco,1967
1444,Cowsills,"The Rain, The Park And Other Things",1967
1445,Herman's Hermits,There's A Kind Of Hush,1967
1446,Buckinghams,"Mercy, Mercy, Mercy",1967
1447,Petula Clark,This Is My Song,1967
1448,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967
1449,Young Rascals,I've Been Lonely Too Long,1967
1450,Beatles,Penny Lane,1967
1451,Temptations,You're My Everything,1967
1452,Seekers,Georgy Girl,1967
1453,Five Americans,Western Union,1967
1454,Aretha Franklin,Baby I Love You,1967
1455,Monkees,"A Little Bit You, A Little Bit Me",1967
1456,Lesley Gore,California Nights,1967
1457,Mama's and The Papa's,Dedicated To The One I Love,1967
1458,Young Rascals,How Can I Be Sure,1967
1459,Hollies,Carrie Ann,1967
1460,Blue Magoos,(We Ain't Got) Nothin' Yet,1967
1461,Easy Beats,Friday On My Mind,1967
1462,Bar-Kays,Soul Finger,1967
1463,Spencer Davis Group,Gimme Some Lovin',1967
1464,Hombres,Let It Out (Let It All Hang Out),1967
1465,Grass Roots,Let's Live For Today,1967
1466,Peaches and Herb,Close Your Eyes,1967
1467,Booker T and The MG's,Groovin',1967
1468,Wilson Pickett,Funky Broadway,1967
1469,Monkees,Pleasant Valley Sunday,1967
1470,Aretha Franklin,I Never Loved A Man (The Way I Love You),1967
1471,Aaron Neville,Tell It Like It Is,1967
1472,James Brown and The Famous Flames,Cold Sweat,1967
1473,Turtles,She'd Rather Be With Me,1967
1474,Keith,98.6,1967
1475,Ray Charles,Here We Go Again,1967
1476,Jefferson Airplane,White Rabbit,1967
1477,Four Tops,Bernadette,1967
1478,Sonny and Cher,The Beat Goes On,1967
1479,Royal Guardsmen,Snoopy Vs. The Red Baron,1967
1480,Janis Ian,Society's Child,1967
1481,Neil Diamond,"Girl, You'll Be A Woman Soon",1967
1482,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough,1967
1483,Sandy Posey,I Take It Back,1967
1484,Tremeloes,Here Comes My Baby,1967
1485,Robert Knight,Everlasting Love,1967
1486,"Peter, Paul and Mary",I Dig Rock And Roll Music,1967
1487,Bill Cosby,Little Ole Man (Uptight-Everything's Alright),1967
1488,Electric Prunes,I Had Too Much To Dream Last Night,1967
1489,Monkees,Daydream Believer,1967
1490,Johnny Rivers,Baby I Need Your Lovin',1967
1491,Who,I Can See For Miles,1967
1492,Tommy James and The Shondells,Mirage,1967
1493,Tom Jones,"Green, Green Grass Of Home",1967
1494,Petula Clark,Don't Sleep In The Subway,1967
1495,Neil Diamond,Thank The Lord For The Night Time,1967
1496,Beatles,Hey Jude,1968
1497,Paul Mauriat,Love Is Blue,1968
1498,Bobby Goldsboro,Honey,1968
1499,Otis Redding,(Sittin' On) The Dock Of The Bay,1968
1500,Rascals,People Got To Be Free,1968
1501,Cream,Sunshine Of Your Love,1968
1502,Herb Alpert,This Guy's In Love With You,1968
1503,Hugo Montenegro,"The Good, The Bad And The Ugly",1968
1504,Simon and Garfunkel,Mrs. Robinson,1968
1505,Archie Bell and The Drells,Tighten Up,1968
1506,Jeannie C. Riley,Harper Valley P.T.A.,1968
1507,O.C. Smith,Little Green Apples,1968
1508,Tommy James and The Shondells,"Mony, Mony",1968
1509,Doors,"Hello, I Love You",1968
1510,Gary Puckett and The Union Gap,Young Girl,1968
1511,Box Tops,Cry Like A Baby,1968
1512,Fifth Dimension,Stoned Soul Picnic,1968
1513,Hugh Masekela,Grazing In The Grass,1968
1514,Grass Roots,Midnight Confessions,1968
1515,Sly and The Family Stone,Dance To The Music,1968
1516,Cliff Nobles and Co.,The Horse,1968
1517,Temptations,I Wish It Would Rain,1968
1518,Delfonics,La-La Means I Love You,1968
1519,Vogues,"Turn Around, Look At Me",1968
1520,John Fred and His Playboy Band,Judy In Disguise (With Glasses),1968
1521,Classics IV,Spooky,1968
1522,Diana Ross and The Supremes,Love Child,1968
1523,Merrilee Rush,Angel Of The Morning,1968
1524,Georgie Fame,The Ballad Of Bonnie And Clyde,1968
1525,Mary Hopkin,Those Were The Days,1968
1526,Steppenwolf,Born To Be Wild,1968
1527,Intruders,Cowboys To Girls,1968
1528,1910 Fruitgum Company,Simon Says,1968
1529,Gary Puckett and The Union Gap,Lady Willpower,1968
1530,Rascals,A Beautiful Morning,1968
1531,Sergio Mendes and Brasil '66,The Look Of Love,1968
1532,Johnny Nash,Hold Me Tight,1968
1533,Ohio Express,"Yummy, Yummy, Yummy",1968
1534,Crazy World Of Arthur Brown,Fire,1968
1535,Troggs,Love Is All Around,1968
1536,Gene and Debbe,Playboy,1968
1537,Dionne Warwick,(Theme From) Valley Of The Dolls,1968
1538,Mason Williams,Classical Gas,1968
1539,Clarence Carter,Slip Away,1968
1540,O'Kaysions,Girl Watcher,1968
1541,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,1968
1542,Lemon Pipers,Green Tambourine,1968
1543,1910 Fruitgum Company,"1, 2, 3, Red Light",1968
1544,Friend and Lover,Reach Out Of The Darkness,1968
1545,Rolling Stones,Jumpin' Jack Flash,1968
1546,Richard Harris,MacArthur Park,1968
1547,Jose Feliciano,Light My Fire,1968
1548,People,I Love You,1968
1549,Percy Sledge,Take Time To Know Her,1968
1550,Status Quo,Pictures Of Matchstick Men,1968
1551,Blue Cheer,Summertime Blues,1968
1552,Marvin Gaye and Tammi Terrell,Ain't Nothing Like The Real Thing,1968
1553,James Brown and The Famous Flames,I Got The Feelin',1968
1554,Bee Gees,I've Gotta Get A Message To You,1968
1555,Beatles,Lady Madonna,1968
1556,Donovan,Hurdy Gurdy Man,1968
1557,Steppenwolf,Magic Carpet Ride,1968
1558,Fireballs,Bottle Of Wine,1968
1559,Dells,Stay In My Corner,1968
1560,Willie Mitchell,Soul Serenade,1968
1561,Tom Jones,Delilah,1968
1562,Human Beinz,Nobody But Me,1968
1563,Sam and Dave,I Thank You,1968
1564,Sergio Mendes and Brasil '66,The Fool On The Hill,1968
1565,Eric Burdon and The Animals,Sky Pilot,1968
1566,Cowsills,Indian Lake,1968
1567,Tommy Boyce and Bobby Hart,I Wonder What She's Doing Tonight,1968
1568,Gary Puckett and The Union Gap,Over You,1968
1569,Lettermen,Goin' Out Of My Head / Can't Take My Eyes Off You,1968
1570,Stevie Wonder,Shoo-Bee-Doo-Be-Doo-Da-Day,1968
1571,Irish Rovers,The Unicorn,1968
1572,Vanilla Fudge,(You Keep Me) Hangin' On,1968
1573,Beatles,Revolution,1968
1574,Gary Puckett and The Union Gap,"Woman, Woman",1968
1575,Turtles,Elenore,1968
1576,Cream,White Room,1968
1577,Marvin Gaye and Tammi Terrell,You're All I Need To Get By,1968
1578,Foundations,"Baby, Now That I've Found You",1968
1579,Sweet Inspirations,Sweet Inspiration,1968
1580,Smokey Robinson and The Miracles,If You Can Want,1968
1581,Mills Brothers,Cab Driver,1968
1582,Chambers Brothers,Time Has Come Today,1968
1583,Dionne Warwick,Do You Know The Way To San Jose,1968
1584,Simon and Garfunkel,Scarborough Fair / Canticle,1968
1585,James Brown and The Famous Flames,Say It Loud I'm Black And I'm Proud,1968
1586,Manfred Mann,The Mighty Quinn,1968
1587,Shorty Long,Here Comes The Judge,1968
1588,Aretha Franklin,I Say A Little Prayer,1968
1589,Aretha Franklin,Think,1968
1590,Gary Lewis and The Playboys,Sealed With A Kiss,1968
1591,Big Brother and The Holding Company,Piece Of My Heart,1968
1592,Creedence Clearwater Revival,Suzie Q.,1968
1593,American Breed,Bend Me Shape Me,1968
1594,Jerry Butler,"Hey, Western Union Man",1968
1595,Jerry Butler,Never Give You Up,1968
1596,Archies,"Sugar, Sugar",1969
1597,Fifth Dimension,Aquarius / Let The Sunshine In,1969
1598,Temptations,I Can't Get Next To You,1969
1599,Rolling Stones,Honky Tonk Women,1969
1600,Sly and The Family Stone,Everyday People,1969
1601,Tommy Roe,Dizzy,1969
1602,Sly and The Family Stone,Hot Fun In The Summertime,1969
1603,Tom Jones,I'll Never Fall In Love Again,1969
1604,Foundations,Build Me Up Buttercup,1969
1605,Tommy James and The Shondells,Crimson And Clover,1969
1606,Three Dog Night,One,1969
1607,Tommy James and The Shondells,Crystal Blue Persuasion,1969
1608,Cowsills,Hair,1969
1609,Marvin Gaye,Too Busy Thinking About My Baby,1969
1610,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969
1611,Youngbloods,Get Together,1969
1612,Friends Of Distinction,Grazin' In The Grass,1969
1613,Elvis Presley,Suspicious Minds,1969
1614,Creedence Clearwater Revival,Proud Mary,1969
1615,Jr. Walker and The All Stars,What Does It Take (To Win Your Love),1969
1616,Isley Brothers,It's Your Thing,1969
1617,Neil Diamond,Sweet Caroline,1969
1618,Oliver,Jean,1969
1619,Creedence Clearwater Revival,Bad Moon Rising,1969
1620,Beatles,Get Back,1969
1621,Zager and Evans,In The Year 2525,1969
1622,"Blood, Sweat and Tears",Spinning Wheel,1969
1623,Andy Kim,"Baby, I Love You",1969
1624,Friends Of Distinction,Going In Circles,1969
1625,Lettermen,Hurt So Bad,1969
1626,Creedence Clearwater Revival,Green River,1969
1627,Stevie Wonder,My Cherie Amour,1969
1628,Three Dog Night,Easy To Be Hard,1969
1629,Smith,Baby It's You,1969
1630,Elvis Presley,In The Ghetto,1969
1631,Johnny Cash,A Boy Named Sue,1969
1632,Smokey Robinson and The Miracles,"Baby, Baby Don't Cry",1969
1633,Jerry Butler,Only The Strong Survive,1969
1634,Zombies,Time Of The Season,1969
1635,Fifth Dimension,Wedding Bell Blues,1969
1636,Bobby Sherman,Little Woman,1969
1637,Mercy,Love (Can Make You Happy),1969
1638,Oliver,Good Morning Starshine,1969
1639,Guess Who,These Eyes,1969
1640,"Blood, Sweat and Tears",You've Made Me So Very Happy,1969
1641,Jackie DeShannon,Put A Little Love In Your Heart,1969
1642,Watts 103rd Street Rhythm Band,Do Your Thing,1969
1643,Grass Roots,I'd Wait A Million Years,1969
1644,Doors,Touch Me,1969
1645,Spiral Starecase,More Today Than Yesterday,1969
1646,Sammy Davis Jr.,I've Gotta Be Me,1969
1647,Bob Dylan,Lay Lady Lay,1969
1648,Donovan,Atlantis,1969
1649,Dennis Yost and The Classics IV,Traces,1969
1650,Mama Cass Elliot,It's Getting Better,1969
1651,Jay and The Americans,This Magic Moment,1969
1652,Temptations,"Run Away Child, Running Wild",1969
1653,Ventures,Hawaii Five-O,1969
1654,Glen Campbell,Galveston,1969
1655,Lou Christie,I'm Gonna Make You Mine,1969
1656,Ray Stevens,Gitarzan,1969
1657,Tyrone Davis,Can I Change My Mind,1969
1658,Booker T and The MG's,Time Is Tight,1969
1659,Dionne Warwick,This Girl's In Love With You,1969
1660,Winstons,Color Him Father,1969
1661,"Sonny Charles and The Checkmates, Ltd.",Black Pearl,1969
1662,1910 Fruitgum Company,Indian Giver,1969
1663,James Brown,Mother Popcorn (Part I),1969
1664,Edwin Starr,Twenty-five Miles,1969
1665,New Colony Six,Things I'd Like To Say,1969
1666,Motherlode,When I Die,1969
1667,Marvin Gaye,That's The Way Love Is,1969
1668,Nilsson,Everybody's Talkin',1969
1669,Brooklyn Bridge,Worst That Could Happen,1969
1670,Joe Simon,Chokin' Kind,1969
1671,Flying Machine,Smile A Little Smile For Me,1969
1672,Tony Joe White,Polk Salad Annie,1969
1673,Kenny Rogers and The First Edition,"Ruby, Don't Take Your Love To Town",1969
1674,Joe South,Games People Play,1969
1675,Turtles,You Showed Me,1969
1676,Cuff Links,Tracy,1969
1677,Dells,"Oh, What A Night",1969
1678,Beatles,Something,1969
1679,Gary Puckett and The Union Gap,This Girl Is A Woman Now,1969
1680,Beatles,Come Together,1969
1681,Bob Seger System,Ramblin' Gamblin' Man,1969
1682,Diana Ross and The Supremes and The Temptations,I'm Gonna Make You Love Me,1969
1683,Marvin Gaye,I Heard It Through The Grapevine,1969
1684,Crazy Elephant,Gimme Gimme Good Lovin',1969
1685,Booker T and The MG's,Hang 'Em High,1969
1686,Lou Rawls,Your Good Thing (Is About To End),1969
1687,Originals,Baby I'm For Real,1969
1688,Edwin Hawkins Singers,Oh Happy Day,1969
1689,Tom Jones,Love Me Tonight,1969
1690,Paul Revere and The Raiders,"Mr. Sun, Mr. Moon",1969
1691,Guess Who,Laughing,1969
1692,David Ruffin,My Whole World Ended (The Moment You Left Me),1969
1693,Box Tops,Soul Deep,1969
1694,B.J. Thomas,Hooked On A Feeling,1969
1695,Box Tops,Sweet Cream Ladies,1969
1696,Simon and Garfunkel,Bridge Over Troubled Water,1970
1697,Carpenters,(They Long To Be) Close To You,1970
1698,Guess Who,American Woman / No Sugar Tonight,1970
1699,B.J. Thomas,Raindrops Keep Fallin' On My Head,1970
1700,Edwin Starr,War,1970
1701,Diana Ross,Ain't No Mountain High Enough,1970
1702,Jackson 5,I'll Be There,1970
1703,Rare Earth,Get Ready,1970
1704,Beatles,Let It Be,1970
1705,Freda Payne,Band Of Gold,1970
1706,Three Dog Night,Mama Told Me (Not To Come),1970
1707,Ray Stevens,Everything Is Beautiful,1970
1708,Bread,Make It With You,1970
1709,Vanity Fare,Hitchin' A Ride,1970
1710,Jackson 5,ABC,1970
1711,Jackson 5,The Love You Save,1970
1712,Neil Diamond,Cracklin' Rose,1970
1713,Dawn,Candida,1970
1714,Sly and The Family Stone,Thank You (Fallettin Me Be Mice Elf Again),1970
1715,Eric Burdon and War,Spill The Wine,1970
1716,Five Stairsteps,O-o-h Child,1970
1717,Norman Greenbaum,Spirit In The Sky,1970
1718,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain),1970
1719,Temptations,Ball Of Confusion (That's What The World Is Today),1970
1720,Moments,Love On A Two Way Street,1970
